x (mm),y (mm),Area (mm^2),Length (mm),Width (mm),x_center,y_center,max value
2,2,250,22,15,0,2,0.059793
2,6,383,35,17,0,2,0.029944
2,10,358,28,23,0,-2,0.040037
2,14,430,38,17,0,-8,0.039295
2,18,404,35,17,0,-10,0.037943
2,22,448,38,17,0,-12,0.039472
2,26,424,36,17,0,-14,0.040047
2,30,421,37,17,0,-16,0.040707
2,34,427,37,17,0,-18,0.041486
2,38,430,36,19,0,-20,0.042171
2,42,429,37,19,0,-22,0.042792
6,2,269,23,17,0,2,0.13581
6,6,341,29,17,0,2,0.099704
6,10,434,32,23,0,-6,0.08302
6,14,463,37,19,0,-8,0.097964
6,18,440,34,19,0,-10,0.091756
6,22,520,39,19,0,-12,0.094705
6,26,498,38,21,0,-14,0.095772
6,30,508,40,21,0,-16,0.096954
6,34,531,41,21,0,-18,0.098345
6,38,536,40,21,0,-20,0.099274
6,42,533,39,23,0,-22,0.10023
10,2,286,22,19,0,2,0.19293
10,6,358,28,17,0,2,0.15797
10,10,451,31,19,0,-6,0.11428
10,14,494,38,21,0,-1,0.14624
10,18,484,34,23,0,-10,0.13326
10,22,582,40,23,0,-12,0.13558
10,26,591,41,25,0,-14,0.13649
10,30,597,39,25,0,-16,0.13756
10,34,606,40,27,0,-18,0.13867
10,38,623,39,27,0,-20,0.13893
10,42,649,39,29,0,-22,0.13961
14,2,302,20,21,0,2,0.2256
14,6,383,27,19,0,-1,0.19213
14,10,523,31,23,0,7,0.12999
14,14,568,38,23,0,-1,0.16874
14,18,582,36,25,0,-10,0.15389
14,22,685,40,27,0,-12,0.15433
14,26,698,40,29,0,-14,0.15426
14,30,711,39,31,0,-16,0.15444
14,34,747,39,31,0,-18,0.15423
14,38,772,40,33,0,-20,0.15311
14,42,768,40,33,0,-22,0.15267
18,2,354,19,25,0,2,0.23588
18,6,455,27,23,0,2,0.20566
18,10,612,32,25,0,7,0.13556
18,14,703,39,27,0,3,0.17299
18,18,716,38,29,0,-10,0.15614
18,22,832,40,29,0,-12,0.15452
18,26,882,40,33,0,-14,0.15322
18,30,896,40,33,0,-16,0.15226
18,34,946,42,33,0,-18,0.15056
18,38,1021,45,35,0,-20,0.14815
18,42,1066,44,37,0,-22,0.14652
22,2,444,21,29,0,2,0.2321
22,6,574,28,27,0,2,0.20642
22,10,756,33,29,0,7,0.13317
22,14,859,39,31,0,3,0.17219
22,18,939,43,33,0,12,0.14811
22,22,1053,41,33,0,-12,0.14492
22,26,1129,44,33,0,-14,0.14296
22,30,1171,47,36,0,-16,0.14145
22,34,1224,47,37,0,-18,0.13911
22,38,1274,49,37,2,-20,0.13651
22,42,1344,50,37,3,-22,0.13537
26,2,540,21,33,0,2,0.22525
26,6,709,29,31,0,2,0.20257
26,10,904,32,35,0,7,0.12791
26,14,1030,40,35,0,6,0.17045
26,18,1101,43,37,0,12,0.14695
26,22,1223,43,37,0,15,0.14358
26,26,1308,46,37,-4,17,0.14071
26,30,1380,46,37,5,-16,0.1353
26,34,1450,47,39,6,-18,0.13443
26,38,1462,46,41,6,-20,0.1335
26,42,1517,50,41,6,-22,0.13329
30,2,615,21,37,0,2,0.22342
30,6,817,30,35,0,2,0.20004
30,10,1011,31,37,0,11,0.12565
30,14,1154,38,39,0,6,0.17231
30,18,1229,41,39,0,12,0.14848
30,22,1372,42,41,0,15,0.14492
30,26,1478,46,41,-5,17,0.14181
30,30,1560,48,41,-6,16,0.13495
30,34,1625,47,43,-6,22,0.13421
30,38,1638,47,45,-9,24,0.13239
30,42,1755,50,45,9,23,0.12926
34,2,670,20,41,0,2,0.22766
34,6,921,31,39,0,2,0.19953
34,10,1116,31,41,0,11,0.12931
34,14,1278,38,43,0,6,0.17595
34,18,1328,41,43,0,12,0.15308
34,22,1513,42,45,0,15,0.1484
34,26,1577,43,45,0,17,0.14712
34,30,1732,49,45,0,16,0.13591
34,34,1775,46,47,-5,22,0.13434
34,38,1832,48,49,0,-20,0.13154
34,42,1900,48,49,0,-22,0.13211
38,2,732,20,45,0,2,0.23296
38,6,1033,32,43,0,2,0.19842
38,10,1190,31,45,0,11,0.13585
38,14,1390,37,45,0,6,0.17794
38,18,1381,37,47,0,12,0.15911
38,22,1636,42,47,0,15,0.15247
38,26,1693,43,47,0,17,0.15332
38,30,1779,47,49,0,16,0.14191
38,34,1844,43,51,0,22,0.14197
38,38,2012,48,53,0,-20,0.13248
38,42,2041,49,53,0,-22,0.13299
42,2,796,20,49,0,2,0.23386
42,6,1121,31,49,0,2,0.19497
42,10,1296,31,49,0,11,0.13984
42,14,1492,36,49,0,6,0.17689
42,18,1453,36,51,0,12,0.1634
42,22,1754,40,51,0,15,0.15507
42,26,1807,41,51,0,17,0.15776
42,30,1853,45,53,0,16,0.1464
42,34,1938,44,53,0,22,0.14733
42,38,2080,46,57,0,21,0.13861
42,42,2188,52,59,0,-22,0.13256
